title,rating,comments_count,comments_top5
肖申克的救赎,9.7,2060413,"['人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.i hope', '当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”', '墙里的人老是喊自由，可是墙外的我们真正得到了吗？', '不需要女主角的好电影', '恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》']"
霸王别姬,9.6,1527337,"['陈凯歌可以靠它吃两辈子饭了，现在看来江郎才尽也情有可原', '说好了一辈子，少一年、一天、一个时辰，都不是一辈子。', '他竟当面一语点破：虞姬是真虞姬，霸王是假霸王。', '就凭这个，我愿意原谅陈凯歌一切的烂片 你只要伟大过一次就可以了 就凭这个 哥哥你是我心中永远不朽的传奇 你是全世界最大的角儿', '在野路子出身的张国荣面前，学院出身的张丰毅显得那么单薄']"
阿甘正传,9.5,1557834,"['他的十二支船，每一支都是她的名字。她走后，他只得跑遍世界的每一个湖泊和沙漠来思念她，只等她一声召唤便死心塌地的回到她的身边。好莱坞编造一个这么纯粹的故事，让我们看到我们所拥有的感情，是多么的残破不堪。这简直是残忍的，不道德的。', '太甜美的美國夢', '羡慕珍妮，不管她多么叛逆、落魄、堕落，永远有阿甘在等她回来', '妈妈说，生活就像一盒巧克力……请不要再续下一句，耳朵听的起了茧子。', '每年看一遍，每年哭一遍，看看自己幸福还是阿甘幸福！时间：从2003开始每年一遍']"
这个杀手不太冷,9.4,1749264,"['我开始想要过得快乐，睡在床上，有牵挂', '萝莉有颗御姐心，正太有个大叔身——邪恶又天真、残酷又温柔，多完美~', '一半的魅力来自反派：Gary Oldman.', '她对Leon说，自从遇见你后，我的胃，再也不痛了……', 'Leon的门打开，一束好象来自天堂的光照在Mathilda脸上。给他快乐，从不发问。细节和大方向都很出色，一部控制得几乎完美的电影。']"
美丽人生,9.5,977582,"['我以为如此智慧的一个人，在那几声枪响过后，必定是会走出来，继续对他的公主说早安的...', '人生，就是喜剧，就是一场1000分的游戏。千万别哭，不然那个迈着正步去赴死的犹太人会笑话你的。\r\n \r\n', '如果谎言可以这样美丽，我也情愿生活在谎言之中', '看了这个不要看《辛德勒名单》或者看了《辛德勒名单》不要看这个。时间：2005', '在真实的历史面前，不可能有这样的轻松与浪漫！']"
泰坦尼克号,9.4,1510062,"['那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。', '“我甚至连一张他的画像都没有，但他永远活在我心中。” 要敢说，这是我一直深爱的电影。', '剧本居然收入人民教育出版社教材，可想而知对我国的巨大影响力。', '若干年后，2010年12月27日凌晨一点半，我不知道还有谁醒着没睡，还有谁和我一样，刚重温过这片子，或是刚刚打开准备重温。我又哭得很惨，这是毫无疑问的。我想，之所以不情愿活着，是因为没有那个如此相爱想要厮守的人；不情愿死去，是因为没有一个人如此爱我，值得我为他去死。', '爱你原本只是一瞬，却不知在时间的洪流中成了永恒。']"
千与千寻,9.4,1617052,"['有那么那么经典吗？还是我老了？', '每次看这些神作的时候想到这是动画片这是一群牛人一笔一笔画出来的,就觉得漏看掉一帧都实在是对不起他们啊', '不努力工作会变成猪', '曾发生过的事请不可能忘记 只不过是你想不起罢了', '一个寻找自我或者自我复苏的过程']"
辛德勒的名单,9.5,793949,"['有钱才能保护喜欢的人', '印象很深刻的是黑白画面中的红色。', '“凡救人一命，即救全世界！”一段如此深刻的历史，多么希望它早早结束，但如此一部经典的影片你却永远都不想它完结。感动于良知，印象很深刻的永远是黑白画面中的那一抹红色。在任何时代，不管有多么的黑暗，都会有人性的光辉在闪烁着；经典的影片也不会因为缺失色彩而让人觉得沉闷。★★★★☆', '这不止是剧情，更是技术、镜头、剪辑、演技和配乐的综合胜利。表达是一出技巧活，不以剧本和背景定优劣，这一切都是导演的功力和运气造成，不可求，但可遇——《辛德勒的名单》可谓厚积薄发。而实论背景，辛德勒本人之事尚存争议，电影却已在全世界人面前诠释并且定性了，由此可见媒体的影响之大', '出门的时候，看到灯火辉煌的城市，会觉得一切幸福美好都是罪恶。。。']"
盗梦空间,9.3,1488546,"['大概广电局也不知道该从哪里剪', '卡梅隆负责革新电影技术，诺兰负责革新电影结构...', '1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年', '一部电影好看到即使你明白它在故弄玄虚也是义无反顾的打五星。', '确实挺好看。人人都在评论这片，我也评不出个鸟来了。因为《盗梦空间》这片，中国人民已经陷入了智商无限的癫狂幻想之中。人人都觉得自己的解释最牛逼，人人都觉得自己是哲学家，是心理学家，是数学家，是诺兰的知己。']"
忠犬八公的故事,9.4,1035248,"['八公的主人，也在天堂的门口等了它很久吧。', '这真是漫长的一生啊，八公。', 'Hachi就是爱一个人过一生了。', '动物是我的死穴...从头哭到尾..', '这是我所看过的关于狗狗电影最感人的一部，我想它的成功之处就在于将重点正确放至在了对Hachi内心的刻画上，而没有像其他一些影片文不对题，偏偏喜欢渲染一些多余人物的情感，很显然，主题对了，观影者自然而然会买单。']"
